Exec Time,Side,Pos Effect,Symbol,Qty,Price
10/9/24 07:00:00,BUY,TO OPEN,YRD,75,6.3
10/9/24 07:28:36,BUY,TO OPEN,XYF,20,7.21
10/9/24 08:33:48,BUY,TO OPEN,XYF,5,7.15
10/9/24 09:26:17,BUY,TO OPEN,XYF,40,7.21
10/14/24 12:31:17,BUY,TO OPEN,CCRN,40,12.5
10/15/24 07:00:00,BUY,TO OPEN,LX,135,3.47
10/15/24 09:29:51,BUY,TO OPEN,SITC,30,17.0
10/29/24 10:26:17,BUY,TO OPEN,AMTD,375,1.33
11/12/24 09:57:10,BUY,TO OPEN,GSL,20,23.26
11/13/24 09:29:59,BUY,TO OPEN,HG,25,17.81
12/10/24 12:00:02,BUY,TO OPEN,PDS,5,60.98
1/6/25 07:11:05,BUY,TO OPEN,MOMO,5,7.18
1/6/25 07:13:36,BUY,TO OPEN,MOMO,5,7.18
1/6/25 07:13:59,BUY,TO OPEN,MOMO,5,7.18
1/6/25 07:25:34,BUY,TO OPEN,MOMO,5,7.18
1/6/25 09:25:32,BUY,TO OPEN,MOMO,45,7.18
1/6/25 09:26:14,BUY,TO OPEN,BTU,25,20.23
1/6/25 15:49:03,BUY,TO OPEN,YALA,100,4.0
1/6/25 09:30:00,BUY,TO OPEN,MSFT,10,428.0
2/12/25 18:45:05,BUY,TO OPEN,PDS,5,54.5
2/19/25 12:46:51,BUY,TO OPEN,BTU,50,14.92
3/3/25 13:36:12,BUY,TO OPEN,CHRD,5,107.5
3/4/25 09:31:42,BUY,TO OPEN,GSL,25,21.0
3/4/25 10:04:19,BUY,TO OPEN,YRD,25,6.26
3/24/25 07:00:09,BUY,TO OPEN,HAFN,115,4.3498
3/24/25 15:13:30,BUY,TO OPEN,DDI,50,10.05
3/28/25 10:36:46,BUY,TO OPEN,ON,10,42.0
3/28/25 11:54:39,BUY,TO OPEN,CRUS,5,100.0
3/31/25 07:00:00,BUY,TO OPEN,GMAB,25,19.38
3/31/25 07:00:01,BUY,TO OPEN,RWAY,45,10.805
3/31/25 07:33:55,BUY,TO OPEN,KOF,5,92.0
3/31/25 08:41:49,BUY,TO OPEN,HG,25,21.0
3/31/25 09:25:00,BUY,TO OPEN,CTSH,5,75.0
4/3/25 10:01:40,BUY,TO OPEN,SCVL,25,20.0
4/3/25 10:39:44,BUY,TO OPEN,ATKR,10,56.0
4/4/25 07:00:00,BUY,TO OPEN,GIII,20,24.66
4/4/25 07:00:43,BUY,TO OPEN,YRD,75,6.5
4/4/25 07:07:01,BUY,TO OPEN,TGNA,5,16.98
4/4/25 07:23:44,BUY,TO OPEN,DOX,5,84.5
4/4/25 07:26:56,BUY,TO OPEN,OVV,10,36.62
4/4/25 12:22:28,BUY,TO OPEN,TTE,5,58.0
4/7/25 07:00:00,BUY,TO OPEN,CVE,45,10.84
4/7/25 07:00:01,BUY,TO OPEN,GIB,5,93.8
4/7/25 09:30:00,BUY,TO OPEN,NMIH,15,33.0
5/5/25 07:00:01,BUY,TO OPEN,SFD,20,22.52
5/5/25 07:00:07,BUY,TO OPEN,ASO,10,38.95
5/5/25 09:30:00,BUY,TO OPEN,ABEV,200,2.49
5/5/25 09:30:01,BUY,TO OPEN,CNR,5,74.0
5/5/25 09:30:01,BUY,TO OPEN,SU,10,35.51
5/5/25 09:30:01,BUY,TO OPEN,COP,5,89.69
5/5/25 09:31:18,BUY,TO OPEN,VCTR,5,59.0
5/5/25 11:00:37,BUY,TO OPEN,STNG,10,39.99
5/5/25 16:05:00,BUY,TO OPEN,MAT,30,16.0
5/6/25 07:00:08,BUY,TO OPEN,BYD,5,69.83
5/6/25 13:56:17,BUY,TO OPEN,CHRD,5,90.0
5/7/25 14:10:26,BUY,TO OPEN,OVV,15,33.33
5/29/25 10:08:59,BUY,TO OPEN,WIT,175,2.9084
5/29/25 10:10:12,BUY,TO OPEN,ATKR,5,65.98
5/29/25 10:16:59,BUY,TO OPEN,GIII,15,28.28
5/29/25 10:20:08,BUY,TO OPEN,ABEV,200,2.4897
5/29/25 16:03:14,BUY,TO OPEN,HAFN,100,5.0
5/29/25 16:08:43,BUY,TO OPEN,AEO,50,10.42
5/30/25 09:05:46,BUY,TO OPEN,SCVL,25,18.0
5/30/25 09:35:35,BUY,TO OPEN,ON,10,42.0
5/30/25 12:31:07,BUY,TO OPEN,TGNA,30,16.6
6/2/25 07:00:00,BUY,TO OPEN,VIPS,35,13.9
6/2/25 07:00:00,BUY,TO OPEN,ZM,5,80.99
6/2/25 07:00:00,BUY,TO OPEN,GIII,15,29.04
6/2/25 07:00:00,BUY,TO OPEN,CTSH,5,80.97
6/2/25 07:00:01,BUY,TO OPEN,PHM,5,98.03
6/2/25 07:00:08,BUY,TO OPEN,TGNA,30,16.72
6/2/25 07:00:08,BUY,TO OPEN,DOX,5,91.76
6/2/25 08:59:54,BUY,TO OPEN,RWAY,5,9.93
6/2/25 09:30:00,BUY,TO OPEN,FINV,10,8.36
6/2/25 09:30:00,BUY,TO OPEN,FINV,50,8.36
6/2/25 09:30:08,BUY,TO OPEN,RWAY,45,9.93
6/2/25 09:30:32,BUY,TO OPEN,PDD,5,96.0
6/2/25 09:32:00,BUY,TO OPEN,SCVL,25,19.0
6/2/25 12:16:27,BUY,TO OPEN,ABEV,205,2.44
6/3/25 09:32:01,BUY,TO OPEN,HAFN,100,5.0
6/9/25 11:03:55,BUY,TO OPEN,HG,25,20.63
6/23/25 09:31:07,BUY,TO OPEN,HNI,10,46.0
6/30/25 09:29:52,BUY,TO OPEN,FHI,10,44.5
7/2/25 09:30:00,BUY,TO OPEN,ZM,5,77.1
7/2/25 09:30:00,BUY,TO OPEN,CTSH,5,80.3
7/2/25 09:30:01,BUY,TO OPEN,TGNA,30,17.0
7/2/25 09:30:02,BUY,TO OPEN,AZN,5,70.62
7/2/25 09:30:05,BUY,TO OPEN,VIPS,30,15.05
7/2/25 09:31:07,BUY,TO OPEN,SGU,30,11.8
7/2/25 09:59:19,BUY,TO OPEN,HAFN,100,4.99
7/2/25 10:02:18,BUY,TO OPEN,TMHC,5,64.0
7/7/25 14:19:30,BUY,TO OPEN,SQM,10,35.5
7/9/25 11:46:42,BUY,TO OPEN,YRD,-40,6.0
8/5/25 09:30:00,BUY,TO OPEN,ACLS,5,80.0
8/5/25 09:30:00,BUY,TO OPEN,HAFN,85,5.85
8/5/25 09:30:00,BUY,TO OPEN,TGNA,30,16.34
8/5/25 09:30:01,BUY,TO OPEN,XYF,35,13.74
8/5/25 09:30:01,BUY,TO OPEN,VIPS,30,15.49
8/5/25 09:30:01,BUY,TO OPEN,GIB,5,96.75
8/5/25 09:30:01,BUY,TO OPEN,RWAY,45,10.67
8/5/25 09:30:01,BUY,TO OPEN,WIT,185,2.7
8/5/25 09:30:02,BUY,TO OPEN,TPVG,65,6.85
8/5/25 09:30:02,BUY,TO OPEN,GIII,20,24.28
8/5/25 09:30:02,BUY,TO OPEN,TPVG,5,6.85
8/5/25 09:30:02,BUY,TO OPEN,CTSH,5,71.26
8/5/25 09:30:05,BUY,TO OPEN,ABEV,225,2.2
8/5/25 09:30:21,BUY,TO OPEN,ATKR,5,70.0
9/2/25 09:30:00,BUY,TO OPEN,GMAB,20,25.79
9/2/25 09:30:01,BUY,TO OPEN,NMIH,10,39.0
9/2/25 09:30:01,BUY,TO OPEN,TGNA,25,21.1
9/2/25 09:30:01,BUY,TO OPEN,YUMC,10,44.02
9/2/25 09:30:02,BUY,TO OPEN,TMHC,5,66.14
9/2/25 09:30:02,BUY,TO OPEN,GIB,5,96.26
9/2/25 09:30:02,BUY,TO OPEN,CTSH,5,71.49
9/2/25 09:30:02,BUY,TO OPEN,XYF,30,15.0
9/2/25 09:30:02,BUY,TO OPEN,HAFN,75,6.11
9/2/25 09:30:02,BUY,TO OPEN,ZM,5,80.03
9/2/25 09:30:02,BUY,TO OPEN,TGT,5,95.03
9/2/25 09:30:02,BUY,TO OPEN,GIII,20,26.89
9/2/25 09:30:03,BUY,TO OPEN,WIT,175,2.75
9/2/25 09:30:04,BUY,TO OPEN,RAL,10,42.14
9/2/25 09:30:06,BUY,TO OPEN,VICI,15,33.52
9/2/25 09:30:07,BUY,TO OPEN,CHA,25,19.0
10/7/25 09:30:00,BUY,TO OPEN,NXT,5,78.34
10/7/25 09:30:01,BUY,TO OPEN,GIB,5,91.34
10/7/25 09:30:01,BUY,TO OPEN,PHM,5,132.53
10/7/25 09:30:00,SELL,TO CLOSE,MSFT,-10,528.2
10/7/25 09:30:01,BUY,TO OPEN,PDD,5,134.49
10/7/25 09:30:01,BUY,TO OPEN,VICI,15,32.25
10/7/25 09:30:02,BUY,TO OPEN,G,10,41.15
10/7/25 09:30:02,BUY,TO OPEN,YUMC,10,43.19
10/7/25 09:30:02,BUY,TO OPEN,ACN,5,249.13
10/7/25 09:30:02,BUY,TO OPEN,SU,10,41.42
10/7/25 09:33:11,BUY,TO OPEN,TMHC,5,65.48
12/26/24 09:32:49,SELL,TO CLOSE,CCRN,-40,17.9404
12/9/25 09:30:00,BUY,TO OPEN,PDD,5,115.5
2/3/26 16:00:00,SELL,TO CLOSE,VICI,-15,28.05
2/9/26 09:30:00,SELL,TO CLOSE,YRD,-40,3.85
2/23/26 16:00:00,SELL,TO CLOSE,YRD,-20,3.73
